sample_accession_id,sample_alias,file_name,file_accession_id
EGAN00003220606,CGPLH708P_1,CGPLH708P_1.bam,EGAF00005322912
EGAN00003220607,CGPLLU491P,CGPLLU491P.bam,EGAF00005323401
EGAN00003220608,CGPLH711P_1,CGPLH711P_1.bam,EGAF00005322915
EGAN00003220609,CGPLH653P_1,CGPLH653P_1.bam,EGAF00005322861
EGAN00003220610,CGPLLU220P,CGPLLU220P.bam,EGAF00005323152
EGAN00003220611,CGPLH712P_1,CGPLH712P_1.bam,EGAF00005322916
EGAN00003220612,CGPLLU590P,CGPLLU590P.bam,EGAF00005323500
EGAN00003220613,CGPLH924P,CGPLH924P.bam,EGAF00005323071
EGAN00003220614,CGPLH925P,CGPLH925P.bam,EGAF00005323072
EGAN00003220615,CGPLLU221P,CGPLLU221P.bam,EGAF00005323153
EGAN00003220616,CGPLH912P,CGPLH912P.bam,EGAF00005323059
EGAN00003220617,CGPLLU384P,CGPLLU384P.bam,EGAF00005323294
EGAN00003220618,CGPLH713P_1,CGPLH713P_1.bam,EGAF00005322917
EGAN00003220619,CGPLLU383P,CGPLLU383P.bam,EGAF00005323293
EGAN00003220620,CGPLLU462P,CGPLLU462P.bam,EGAF00005323372
EGAN00003220621,CGPLH926P,CGPLH926P.bam,EGAF00005323073
EGAN00003220622,CGPLLU532P,CGPLLU532P.bam,EGAF00005323443
EGAN00003220623,CGPLH927P,CGPLH927P.bam,EGAF00005323074
EGAN00003220624,CGPLLU405P,CGPLLU405P.bam,EGAF00005323315
EGAN00003220625,CGPLH385P_2,CGPLH385P_2.bam,EGAF00005322749
EGAN00003220626,CGPLLU356P,CGPLLU356P.bam,EGAF00005323266
EGAN00003220627,CGPLLU494P,CGPLLU494P.bam,EGAF00005323404
EGAN00003220628,CGPLLU329P,CGPLLU329P.bam,EGAF00005323239
EGAN00003220629,CGPLLU464P,CGPLLU464P.bam,EGAF00005323374
EGAN00003220630,CGPLLU635P,CGPLLU635P.bam,EGAF00005323545
EGAN00003220631,CGPLLU305P,CGPLLU305P.bam,EGAF00005323214
EGAN00003220632,CGPLLU373P,CGPLLU373P.bam,EGAF00005323283
EGAN00003220633,CGPLLU291P,CGPLLU291P.bam,EGAF00005323198
EGAN00003220634,CGPLH405P_2,CGPLH405P_2.bam,EGAF00005322752
EGAN00003220635,CGPLLU410P,CGPLLU410P.bam,EGAF00005323320
EGAN00003220636,CGPLH403P_2,CGPLH403P_2.bam,EGAF00005322751
EGAN00003220637,CGPLLU496P,CGPLLU496P.bam,EGAF00005323406
EGAN00003220638,CGPLH329P_2,CGPLH329P_2.bam,EGAF00005322742
EGAN00003220639,CGPLLU378P,CGPLLU378P.bam,EGAF00005323288
EGAN00003220640,CGPLH388P_2,CGPLH388P_2.bam,EGAF00005322750
EGAN00003220641,CGPLLU362P,CGPLLU362P.bam,EGAF00005323272
EGAN00003220642,CGPLH361P_2,CGPLH361P_2.bam,EGAF00005322747
EGAN00003220643,CGPLLU375P,CGPLLU375P.bam,EGAF00005323285
EGAN00003220644,CGPLH327P_2,CGPLH327P_2.bam,EGAF00005322741
EGAN00003220645,CGPLLU549P,CGPLLU549P.bam,EGAF00005323460
EGAN00003220646,CGPLLU632P,CGPLLU632P.bam,EGAF00005323542
EGAN00003220647,CGPLLU465P,CGPLLU465P.bam,EGAF00005323375
EGAN00003220648,CGPLLU536P,CGPLLU536P.bam,EGAF00005323447
EGAN00003220649,CGPLH458P_2,CGPLH458P_2.bam,EGAF00005322764
EGAN00003220650,CGPLH464P_2,CGPLH464P_2.bam,EGAF00005322766
EGAN00003220651,CGPLH463P_2,CGPLH463P_2.bam,EGAF00005322765
EGAN00003220652,CGPLH468P_2,CGPLH468P_2.bam,EGAF00005322768
EGAN00003220653,CGPLH467P_2,CGPLH467P_2.bam,EGAF00005322767
EGAN00003220654,CGPLH471P_2,CGPLH471P_2.bam,EGAF00005322769
EGAN00003220655,CGPLH472P_2,CGPLH472P_2.bam,EGAF00005322770
EGAN00003220656,CGPLH476P_2,CGPLH476P_2.bam,EGAF00005322772
EGAN00003220657,CGPLH473P_2,CGPLH473P_2.bam,EGAF00005322771
EGAN00003220658,CGPLH487P_2,CGPLH487P_2.bam,EGAF00005322774
EGAN00003220659,CGPLH481P_2,CGPLH481P_2.bam,EGAF00005322773
EGAN00003220660,CGPLH491P_2,CGPLH491P_2.bam,EGAF00005322776
EGAN00003220661,CGPLH937P,CGPLH937P.bam,EGAF00005323079
EGAN00003220662,CGPLH488P_2,CGPLH488P_2.bam,EGAF00005322775
EGAN00003220663,CGPLH936P,CGPLH936P.bam,EGAF00005323078
